Artist,Track,Album,Album_type,Stream,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Tempo_category,Duration_ms,Views,Likes,Comments,Licensed,official_video
The Lumineers,Cleopatra,Cleopatra,album,264350106.0,0.536,0.775,G# / Ab,-6.765,0.0394,0.228,0.0947,0.485,151.393,Allegro,201413.0,68102412.0,374214.0,5734.0,True,True
The Lumineers,Sleep On The Floor,Cleopatra,album,357076227.0,0.389,0.431,G,-8.061,0.0344,0.249,0.13,0.275,142.14,Allegro,211851.0,199243222.0,2255098.0,31232.0,True,True
The Lumineers,Stubborn Love,The Lumineers,album,353447131.0,0.598,0.56,C,-11.679,0.0375,0.607,0.196,0.221,115.01,Moderato / Allegretto,279000.0,136372376.0,635827.0,10548.0,True,True
The Lumineers,Nobody Knows,Pete's Dragon (Original Motion Picture Soundtrack),compilation,59868359.0,0.634,0.382,A,-12.877,0.0363,0.759,0.101,0.2,81.971,Andante,188573.0,34009688.0,158668.0,2227.0,True,True
The Lumineers,WHERE WE ARE,BRIGHTSIDE,album,41867680.0,0.573,0.507,B,-8.084,0.0342,0.759,0.377,0.363,123.183,Allegro,172800.0,1553115.0,29433.0,589.0,True,True
The Lumineers,Angela,Cleopatra,album,150496835.0,0.668,0.563,E,-8.23,0.0305,0.649,0.11,0.289,130.366,Allegro,201786.0,60172096.0,276171.0,4628.0,True,True
The Lumineers,A.M. RADIO,BRIGHTSIDE,album,28658096.0,0.469,0.562,C# / Db,-6.402,0.0343,0.568,0.123,0.483,138.197,Allegro,237320.0,1981902.0,29996.0,778.0,True,True
Martin Garrix,In the Name of Love,In the Name of Love,single,1218983885.0,0.501,0.519,E,-5.88,0.0409,0.109,0.454,0.168,133.99,Allegro,195707.0,740821619.0,7661111.0,169121.0,False,True
Martin Garrix,Hero,Hero,single,22813992.0,0.534,0.696,A,-5.211,0.0694,0.316,0.248,0.251,168.149,Vivace,160714.0,805684.0,47386.0,630.0,True,True
Martin Garrix,Scared to Be Lonely,Scared to Be Lonely,single,1096655941.0,0.584,0.54,C# / Db,-7.786,0.0576,0.0895,0.261,0.195,137.972,Allegro,220883.0,704522012.0,4963724.0,72527.0,False,True
Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),single,569454156.0,0.661,0.723,F,-6.976,0.0566,0.179,0.14,0.316,113.778,Moderato / Allegretto,163805.0,34352261.0,402702.0,6753.0,False,True
Martin Garrix,High On Life (feat. Bonn),High On Life (feat. Bonn),single,375166259.0,0.414,0.486,F# / Gb,-6.431,0.0311,0.0129,0.111,0.368,128.038,Allegro,230762.0,216122048.0,1484552.0,25715.0,False,True
Martin Garrix,Ocean (feat. Khalid),Ocean (feat. Khalid),single,488249995.0,0.506,0.693,C,-7.265,0.0412,0.584,0.0891,0.221,139.912,Allegro,216420.0,297429534.0,1712880.0,28691.0,False,True
Martin Garrix,Drown (feat. Clinton Kane),Drown (feat. Clinton Kane),single,191999405.0,0.573,0.739,A,-5.455,0.0581,0.212,0.175,0.363,120.077,Moderato / Allegretto,174062.0,14996096.0,247379.0,5297.0,False,True
Martin Garrix,There for You,There for You,single,571078074.0,0.611,0.644,F# / Gb,-7.607,0.0553,0.124,0.124,0.13,105.969,Andante,221904.0,352296227.0,3096282.0,65858.0,False,True
Martin Garrix,Pressure (feat. Tove Lo),Pressure (feat. Tove Lo),single,133826349.0,0.859,0.558,G,-8.991,0.0902,0.659,0.124,0.357,114.978,Moderato / Allegretto,144391.0,15272176.0,196967.0,6650.0,False,True
Martin Garrix,So Far Away (feat. Jamie Scott & Romy Dya),So Far Away (feat. Jamie Scott & Romy Dya),single,347562581.0,0.526,0.52,F# / Gb,-7.985,0.0569,0.435,0.197,0.13,149.119,Allegro,183637.0,257317433.0,1852658.0,32756.0,False,True
Melanie Martinez,Play Date,Cry Baby (Deluxe Edition),album,659956591.0,0.68,0.729,F,-5.077,0.0475,0.612,0.224,0.446,123.97,Allegro,179867.0,13070171.0,357159.0,8184.0,False,False
Melanie Martinez,Cake,Cry Baby (Deluxe Edition),album,216395444.0,0.518,0.655,G# / Ab,-6.255,0.0826,0.381,0.271,0.29,156.992,Allegro,199682.0,12128392.0,242141.0,9030.0,False,False
Melanie Martinez,Teacher's Pet,K-12,album,160066639.0,0.686,0.794,G,-6.136,0.0385,0.27,0.125,0.532,140.952,Allegro,241893.0,24828877.0,677241.0,18396.0,True,True
Melanie Martinez,Training Wheels,Cry Baby (Deluxe Edition),album,229875470.0,0.571,0.481,A,-7.179,0.0444,0.697,0.089,0.0807,113.753,Moderato / Allegretto,205680.0,20516508.0,310894.0,15139.0,False,False
Melanie Martinez,Soap,Cry Baby (Deluxe Edition),album,277233740.0,0.595,0.689,F# / Gb,-6.107,0.148,0.254,0.129,0.213,168.112,Vivace,209427.0,1766436.0,50172.0,1350.0,False,False
Becky G,MAMIII,ESQUEMAS,album,584524256.0,0.836,0.703,E,-3.554,0.0657,0.0845,0.138,0.902,94.048,Andante,226093.0,66786029.0,1004611.0,28595.0,True,True
Becky G,Shower,Shower,single,655242748.0,0.699,0.529,D,-7.548,0.0487,0.0317,0.285,0.121,119.987,Moderato / Allegretto,206167.0,477000016.0,4458638.0,205515.0,True,True
Becky G,La Loto,La Loto,single,94362079.0,0.855,0.83,C# / Db,-2.815,0.106,0.0783,0.08,0.775,90.009,Andante,190667.0,72833556.0,656504.0,35863.0,True,True
Becky G,Mayores,MALA SANTA,album,612105921.0,0.745,0.836,F,-4.336,0.0444,0.145,0.116,0.874,96.993,Andante,203187.0,2248375030.0,7856227.0,319541.0,True,True
Becky G,Bubalu,Bubalu,compilation,334986781.0,0.8,0.355,F# / Gb,-10.47,0.0895,0.616,0.118,0.253,145.929,Allegro,228493.0,514554865.0,3010850.0,75208.0,True,True
Becky G,AMANTES,AMANTES,single,17049028.0,0.736,0.77,A# / Bb,-6.477,0.0335,0.109,0.112,0.837,135.018,Allegro,209516.0,4058510.0,46862.0,1619.0,True,True
Becky G,BAILÉ CON MI EX,ESQUEMAS,album,57020051.0,0.761,0.784,E,-4.977,0.133,0.15,0.125,0.691,114.93,Moderato / Allegretto,161880.0,20007208.0,232259.0,8863.0,True,True
Becky G,Ya acabó - Con Becky G,Ya acabó (Con Becky G),single,52174954.0,0.612,0.44,C,-5.894,0.034,0.762,0.0858,0.683,133.872,Allegro,176459.0,74754668.0,625739.0,8146.0,False,False
Becky G,Sin Pijama,MALA SANTA,album,710166109.0,0.788,0.745,B,-4.417,0.0448,0.352,0.0973,0.79,94.002,Andante,190160.0,2086480901.0,8624891.0,366369.0,True,True
Becky G,FULANITO,ESQUEMAS,album,197533144.0,0.938,0.832,G,-4.613,0.195,0.22,0.121,0.832,111.928,Moderato / Allegretto,158440.0,280624654.0,2145946.0,40691.0,True,True
Lorde,Royals,Pure Heroine,album,993183944.0,0.674,0.428,G,-9.504,0.122,0.121,0.132,0.337,84.878,Andante,190185.0,917003732.0,4557902.0,221462.0,True,True
Lorde,Ribs,Pure Heroine,album,424413042.0,0.511,0.472,E,-9.277,0.091,0.534,0.11,0.0399,127.978,Allegro,258969.0,1478218.0,12205.0,521.0,False,False
Lorde,Team,Pure Heroine,album,635428540.0,0.69,0.578,F# / Gb,-7.436,0.0929,0.167,0.305,0.416,99.961,Andante,193059.0,261908898.0,2056630.0,58728.0,True,True
Lorde,Liability,Melodrama,album,349019012.0,0.587,0.229,A# / Bb,-11.254,0.128,0.92,0.1,0.379,75.67,Adagio,171728.0,19911304.0,305750.0,11823.0,True,True
Lorde,Green Light,Melodrama,album,514637184.0,0.594,0.721,D,-7.812,0.0957,0.0209,0.0879,0.253,128.942,Allegro,234653.0,168261849.0,1419862.0,65414.0,True,True
Lorde,Buzzcut Season,Pure Heroine,album,181491092.0,0.733,0.62,C# / Db,-10.525,0.075,0.606,0.117,0.247,111.039,Moderato / Allegretto,246755.0,56496.0,916.0,27.0,False,False
Lorde,Supercut,Melodrama,album,196833616.0,0.562,0.437,C,-10.229,0.052,0.219,0.0806,0.15,124.852,Allegro,277506.0,4116441.0,86156.0,2519.0,True,True
